method,pair,n,simwavlm,simecapa,f0pcc,wer,utmos
ours,en_hi,25,"0.506 [0.474,0.542]","-0.046 [-0.066,-0.024]","0.009 [-0.146,0.148]","0.966 [0.956,0.976]","1.152 [1.145,1.157]"
ours,en_ja,25,"0.521 [0.490,0.554]","-0.048 [-0.068,-0.027]","0.021 [-0.125,0.149]","0.933 [0.922,0.943]","1.160 [1.154,1.166]"
ours,zh_ja,25,"0.390 [0.373,0.407]","-0.046 [-0.056,-0.037]","0.004 [-0.079,0.092]","0.943 [0.937,0.951]","1.147 [1.140,1.153]"
ours_v2,en_en,25,"0.915 [0.894,0.934]","0.659 [0.628,0.688]","0.211 [0.031,0.383]","0.195 [0.112,0.286]","2.546 [2.430,2.663]"
ours_v2,en_zh,25,"0.827 [0.798,0.854]","0.512 [0.478,0.542]","0.107 [-0.073,0.287]","0.257 [0.166,0.360]","2.510 [2.367,2.641]"
ours_v2,zh_en,25,"0.864 [0.815,0.897]","0.552 [0.485,0.612]","0.123 [-0.017,0.266]","1.070 [0.846,1.295]","1.581 [1.438,1.736]"
ours_v2,zh_zh,25,"0.896 [0.880,0.912]","0.564 [0.500,0.623]","0.093 [-0.030,0.210]","0.809 [0.706,0.900]","1.508 [1.389,1.641]"
ours_v2,en_es,25,"0.905 [0.882,0.925]","0.632 [0.598,0.661]","0.186 [0.039,0.320]","0.771 [0.671,0.868]","2.384 [2.260,2.502]"
ours_v2,en_fr,25,"0.913 [0.892,0.932]","0.637 [0.603,0.669]","0.276 [0.122,0.432]","0.811 [0.702,0.934]","2.399 [2.274,2.525]"
ours_v2,en_de,25,"0.918 [0.894,0.937]","0.657 [0.623,0.686]","0.034 [-0.141,0.207]","0.895 [0.777,1.025]","2.466 [2.337,2.589]"
ours_v2,en_hi,25,"0.875 [0.833,0.907]","0.526 [0.480,0.573]","-0.015 [-0.212,0.175]","1.099 [1.016,1.191]","2.087 [1.954,2.230]"
ours_v2,en_ja,25,"0.834 [0.802,0.864]","0.498 [0.465,0.531]","-0.005 [-0.170,0.161]","1.052 [0.964,1.147]","2.137 [2.045,2.234]"
ours_v2,zh_ja,25,"0.844 [0.807,0.878]","0.465 [0.386,0.538]","0.010 [-0.147,0.167]","1.121 [0.973,1.327]","1.464 [1.355,1.570]"
