method,n,mean_rtf,median_rtf,p95_rtf,mean_elapsed_sec
a1_no_phi_test,250,0.30978265565413055,0.27847114719909744,0.6434655744299143,3.453600522994995
a3_no_cycle,250,0.2891142561650142,0.2669192430804947,0.562737790533888,3.2381853303909303
b1_f5,250,0.11615409251626525,0.10609603839273855,0.19951809931007944,1.4291404552459717
b2_random_adam,250,0.6663549595849224,0.5981839101302656,1.2425098516982263,7.517275096893311
b3_meta_init_only,250,0.4390442192631192,0.4034129513418605,0.8445764086732929,4.976087255477905
b3_v2,250,0.4708357258314272,0.4209461211866595,0.9326119971766456,5.260843435287476
ours,250,0.30008998234298156,0.2737725221204704,0.5982253909683779,3.3745007047653197
ours_v2,250,0.459739048050877,0.41674072653171074,0.9097179624029553,5.1585280160903935
